word_id,last_reviewed,next_review,interval,fail_count
5,2026-02-01,2026-04-01,59,0
92,2026-02-01,2026-04-03,61,0
19,2026-02-01,2026-02-04,3,1
7,2026-02-01,2026-02-04,3,1
15,2026-02-01,2026-04-16,74,0
85,2026-02-01,2026-02-04,3,1
70,2026-02-01,2026-02-04,3,1
45,2026-02-01,2026-04-08,66,0
9,2026-02-01,2026-02-04,3,1
13,2026-02-01,2026-02-04,3,1
42,2026-02-01,2026-04-11,69,0
59,2026-02-01,2026-04-12,70,0
25,2026-02-01,2026-04-18,76,0
82,2026-02-01,2026-04-20,78,0
57,2026-02-01,2026-02-01,0,1
16,2026-02-01,2026-04-09,67,0
58,2026-02-01,2026-04-20,78,0
54,2026-02-01,2026-04-02,60,0
12,2026-02-01,2026-02-04,3,1
36,2026-02-01,2026-03-30,57,0
1,2026-02-01,2026-04-08,66,0
32,2026-02-01,2026-03-29,56,0
34,2026-02-01,2026-04-04,62,0
18,2026-02-01,2026-04-23,81,0
24,2026-02-01,2026-04-03,61,0
20,2026-02-01,2026-02-04,3,1
96,2026-02-01,2026-04-03,61,0
88,2026-02-01,2026-04-02,60,0
51,2026-02-01,2026-04-22,80,0
29,2026-02-01,2026-02-04,3,1
67,2026-02-01,2026-02-04,3,1
94,2026-02-01,2026-02-04,3,1
6,2026-02-01,2026-04-20,78,0
93,2026-02-01,2026-02-04,3,1
100,2026-02-01,2026-04-11,69,0
61,2026-02-01,2026-03-30,57,0
44,2026-02-01,2026-04-23,81,0
